sub_id,user_id
2127,57379
1347,19408
1247,8981
1264,52629
2138,25704
1286,38141
1141,6586
2019,6378
40,38439
1179,680
2153,52704
1315,12848
2296,22400
76,7583
2226,1706
1269,18076
1327,23551
1341,6336
2250,13148
28,7705
1137,12024
1343,28839
2270,37129
2101,53105
2283,7930
2179,43555
119,19498
40,19861
2025,54887
1263,8059
1286,52015
17,29208
2129,40846
42,47767
2055,38965
25,31591
2106,30462
2247,16841
1272,9742
63,50724
1281,56548
2108,30738
134,5441
2205,25144
57,10087
2168,32489
1284,53090
2228,43774
71,58080
1237,36218
2243,20689
1347,52844
2163,55670
1327,8534
2110,14919
2025,8051
28,44146
92,6890
57,1163
2221,32592
92,58794
2094,19721
2187,18099
2177,22325
1142,23257
41,29526
2106,42686
2142,46170
1470,4674
1456,27522
2293,5507
2126,8512
1345,39
2178,31359
1462,39724
2146,5328
1222,10906
26,51238
97,5299
79,16506
2040,1443
2104,43845
1262,31201
92,32735
8,56709
1459,19793
38,52309
2016,55180
2228,18473
1237,44263
2040,20376
2297,48399
28,13844
20,3396
2106,48182
2175,38721
1137,4606
1474,3184
2109,54387
2243,6139
2243,59283
1291,54630
1178,47194
103,26337
2120,37243
37,9588
1141,38319
82,533
82,24619
1308,47494
1352,55637
1186,53303
2077,54360
2282,36912
2256,35990
1192,54814
1244,53085
2205,40801
2123,52853
13,32793
131,59000
104,25320
2162,46948
1299,25037
1291,20321
2108,46658
1328,42571
2205,46199
2155,54817
1350,28334
36,59924
21,18334
2040,8058
104,7404
15,54734
2159,12878
1190,59264
1165,53274
2243,13916
2147,56691
1356,18089
1325,53379
70,51586
2169,33538
1471,46054
2181,10394
1312,44990
11,10296
135,906
2163,15348
1215,15321
2144,46641
1458,30753
71,22570
1179,15552
1471,57731
2183,36920
2145,55870
67,22288
2148,11537
2106,43534
2123,17956
40,24178
1290,41899
67,58362
1244,11496
85,43866
1355,10859
2277,49210
1356,48031
2025,4841
1165,19812
40,20574
2101,16485
1347,45803
1340,51885
2181,46329
1332,7304
41,44970
2034,21398
2159,4419
2296,3305
2182,57104
2138,31862
2279,1634
2044,51878
2140,40965
2108,46447
118,26078
1275,10087
1279,4276
1246,18853
2029,57732
41,8920
1190,28082
2061,16792
2177,7936
2055,57604
2129,59643
1140,7844
1462,58026
2077,34222
1266,23149
2168,36999
1203,19387
14,39369
1156,12045
2135,49117
2181,48272
2177,32878
2169,17362
1141,18122
67,15943
1262,28794
76,18419
1245,57361
1300,17768
2185,4666
1147,34793
61,42347
2182,50211
92,6943
26,26220
2106,14406
1352,17762
44,11623
114,32665
130,16207
1304,35039
70,35320
2175,54144
1198,22209
1251,40153
8,26573
79,33413
1275,20467
114,15011
2169,28083
1262,28501
1350,16939
63,716
2061,53134
2184,48449
2016,54193
1352,9448
31,50073
2109,32275
2100,58505
49,1579
1262,37418
6,33527
2019,56878
2077,45235
2120,40886
1355,58320
2096,29827
2135,30206
1156,50093
2148,19158
2178,39360
17,2381
1322,52580
1474,12085
26,48973
2167,18564
97,4301
2179,32303
2090,31481
81,45522
2147,1268
2177,5254
2144,440
1150,18324
42,41744
2145,40122
2184,32755
1474,18236
1265,4074
2297,4148
1150,53398
2121,21313
29,12000
2243,8855
1289,22472
2073,27815
1179,29408
2183,2506
1284,32979
1179,46282
1159,3706
114,42992
1347,59800
31,29936
2014,22178
1266,5761
1303,28820
25,50169
2282,9123
99,35077
77,21838
37,37482
2166,27502
2121,48520
1247,40464
1141,41837
6,20637
13,12771
2277,51344
7,30250
55,8984
2252,20677
2168,33059
2109,5692
1459,4487
2073,2013
38,21416
1308,40984
2171,19904
1290,53786
2184,51586
1453,24268
119,21265
2268,58201
11,56065
25,37986
104,48459
1151,15481
13,37226
2181,1839
2166,36442
1299,25389
1251,38921
2037,19914
1147,23065
8,5294
2282,10605
6,858
2279,31468
1463,50829
2061,27197
1168,924
1468,3363
2112,48790
1311,50780
2167,21115
1179,25316
2029,18301
1302,33087
2147,30998
61,18331
1229,47210
2029,7090
1185,58216
70,1998
2283,49251
2243,10296
2019,51469
2112,5219
1327,6954
1297,25967
2228,37622
1307,37740
1474,15537
119,37858
2106,47996
1292,40502
2126,48999
1237,33358
37,11287
2055,43518
2205,32280
2162,31856
1460,6739
1237,51376
49,54257
2101,2627
2248,36035
2014,31012
1282,23463
1192,22169
1299,24261
1186,40838
2226,29678
26,1797
2162,2279
104,19496
69,34896
2094,9402
63,48106
2045,21432
2077,48743
2175,246
1240,23245
2162,55998
1357,50525
2182,33242
1245,16707
1315,4167
1238,29981
1258,38161
1474,43472
2021,50316
1276,24499
2112,4433
21,2865
1324,43979
2127,7370
135,22283
1456,32094
2186,757
1237,45326
1282,27424
2040,44396
1307,52086
1265,42915
2034,17343
2096,16312
2101,18694
2025,1300
67,18477
119,31049
1347,28138
104,40307
2258,32944
2142,47169
1454,13992
2221,3899
2153,5600
117,10297
1339,36568
1345,6483
2120,58457
1325,17315
2296,14288
81,9800
2134,1176
20,24926
2293,20110
1271,44030
2044,56019
2040,14797
1176,38151
1299,1473
130,38819
1313,19724
2252,30095
1141,7458
98,25995
1222,11744
2293,47810
1251,9546
1322,29205
118,13639
79,40958
2101,26037
2281,8107
2170,14592
1245,17333
2110,10188
1352,34430
1262,28733
119,58414
41,16071
1355,38610
2164,35020
1455,38918
104,2224
98,33442
64,18747
130,48198
2155,29875
2181,28360
2134,16515
61,44499
2247,35164
2138,29153
2283,50083
1218,33435
2277,28154
1474,30123
1284,59617
1251,2091
1345,15315
1238,36718
1474,58786
6,45835
64,57618
1240,48871
2055,59604
34,16901
2256,19446
1168,58396
2112,54070
115,24899
2175,24178
1137,41080
2184,4852
2100,3404
49,8299
2250,19716
1137,40919
64,12751
1350,52425
1215,40572
115,35682
1284,36110
1264,15224
1215,18579
1313,4371
1329,48900
1147,25852
1272,8345
2154,56578
41,53881
2189,57367
2072,49082
1179,59602
135,53710
2144,47091
11,52495
2155,54180
2175,45604
98,33960
1151,19220
1266,54565
2095,29273
1325,32160
1190,42534
64,44214
57,10846
2292,51701
1211,30333
1229,33986
2159,41854
2037,13033
2108,38278
1302,12399
1269,25590
1159,1564
26,257
1203,33216
1224,49241
2019,51568
2153,5187
2163,1305
2170,41967
2188,4357
2072,17787
1302,21008
2055,27333
2109,22152
1169,9819
2189,17112
1246,58857
24,32299
2188,20745
2279,52353
2046,16335
2252,28948
2160,28569
2135,10892
44,30160
2040,17098
2025,15053
77,58387
2251,25156
1238,48983
1262,55696
2127,5319
1247,8908
115,54026
2184,31937
2251,54079
1343,27643
2164,29932
73,4936
2129,35752
14,40127
2176,56886
2120,52575
14,21049
97,11679
1245,47876
2247,18069
2162,18196
1266,54159
18,7645
36,37351
1251,19737
2134,20716
2176,58782
1176,2532
2138,23269
1240,30905
1456,47934
25,5229
2205,52953
1472,48168
2258,41973
1275,24232
1332,19961
1192,19539
24,11057
1156,25779
2205,21689
2175,47346
2095,27636
2148,23909
2258,37298
36,7556
2014,45223
1472,28820
1192,40739
2173,16411
2072,28649
1312,53527
2205,52964
1297,58840
2145,50737
