sub_id,user_id
43046,23775
4895,19786
1011,20174
1686,40276
6428,12745
1298,21560
2028,42305
4045,32354
1591,21036
43434,43758
1246,14615
1146,46685
188,39259
984,19900
397,18929
1420,48287
1525,32882
1293,24551
954,36791
4805,34764
4836,7188
1583,45451
3757,50740
6743,41330
3514,22948
924,36043
1526,8047
43395,56081
161,34653
4270,54113
4202,56286
43169,37551
823,37553
43483,59215
4614,30446
267,56516
780,13199
162,47373
42986,44833
6928,49864
1446,47939
4733,19026
4512,25556
335,24089
249,10159
6718,18839
786,20788
1019,18022
271,33520
393,8022
6888,40056
3488,9126
1615,44506
1506,13893
4551,3744
1512,24855
686,27011
842,54491
6657,48221
2028,39884
591,8704
406,11376
3918,55713
1339,47819
6570,6719
42,39231
975,51508
584,28014
688,35576
6427,1307
490,19941
4793,49273
4296,22525
4096,32312
3524,17191
1302,50163
475,28828
43077,7826
4267,51890
1062,48784
574,11869
3523,35543
400,22888
43154,38931
533,7063
406,43603
4640,45420
761,44153
1642,6349
1,24850
268,4077
6896,41548
663,13656
4818,3187
6687,55765
372,26645
1327,22620
43603,38837
1604,23806
668,11940
6240,33294
799,39023
43029,29030
3482,26456
1281,53332
1136,18261
3884,11089
1280,12061
466,116
1826,16055
1003,46945
3452,55762
496,51098
1024,45274
4543,10339
14,35043
1203,5334
1433,54977
177,43738
963,17758
3524,26617
629,24833
6171,48988
1119,6689
4751,14973
1226,59864
127,44861
3464,33576
1107,47917
6939,4823
43416,3514
4984,30505
43311,57387
4885,22556
3941,6871
168,50393
230,26963
6235,16674
4911,49881
1311,58310
4793,59509
4984,54378
666,6080
43416,42351
442,48876
4120,14143
43338,54264
4607,49235
6214,16711
1393,27338
43449,52679
6197,37135
1104,27297
1052,41830
15,14909
43325,26606
6474,1854
4759,15314
1443,36906
1517,37222
6612,23356
2904,48303
1295,21866
8,6986
3605,8283
423,5831
6871,28612
3474,11037
1620,10992
6086,16011
3507,9502
6757,2820
1618,30656
43510,44691
42940,54497
450,7741
42889,31582
1207,37836
312,45991
6548,7901
4057,30137
3519,15927
6213,26710
1451,42996
629,26170
6472,55812
43460,37770
6243,16976
1497,38440
898,21144
5903,51738
1270,47835
1291,45937
4955,52245
1489,58259
1118,4522
6110,7380
1278,45197
833,32706
4785,1178
1200,54612
4911,58016
1280,25181
688,17033
6945,39939
855,25458
347,34804
355,49190
1247,39801
4894,30638
6156,25244
1485,29346
293,28287
3502,38627
316,51062
1023,44240
4853,59567
977,38953
1302,17985
1611,42970
122,2269
4069,59602
43158,8004
125,25421
799,34189
4905,47745
1518,22844
4668,20174
4833,29669
606,24528
4056,29674
3512,31801
915,35810
381,52622
716,20817
544,22095
1319,15557
151,42950
491,18508
4100,43755
4180,34795
1493,59226
6075,12263
4054,8161
92,31930
6622,2364
4791,45933
1088,29041
1113,45419
569,40096
2055,54322
353,233
5902,12346
1514,46716
601,29273
591,35541
1634,15709
924,30537
6732,35025
1293,23703
721,22759
4487,36870
50,35697
4521,57852
1588,26536
4263,30028
6339,4037
1090,16784
1472,57364
873,4108
1554,38460
976,47883
194,48385
6080,843
6957,13556
1590,41609
692,31997
1148,48538
480,42843
1375,45577
355,42529
1194,16825
4669,16747
1276,45178
1488,55491
369,2157
532,555
1002,28240
6073,41087
917,26479
1556,5308
1546,3201
4344,41110
846,29137
3905,46743
4840,47586
6733,38038
3481,40837
1299,4987
93,26457
1819,15121
548,56244
6715,56676
4738,17828
775,4870
4383,30414
6339,17023
1470,2319
4330,33268
547,22615
1246,14677
6020,33518
6312,17598
4761,35510
4312,34600
6893,21149
859,49681
861,32305
136,17919
993,28444
134,30117
4763,22387
1360,1413
1433,13913
2029,28805
3485,4924
1300,27987
1302,43911
3862,9551
6759,18334
6891,34538
6678,37484
3469,50632
42,53925
602,368
1568,5281
1560,39443
201,22601
976,8363
6961,47775
4612,20462
4905,40588
5918,6478
5958,55613
1478,59786
93,55077
989,44097
739,38457
1456,3934
986,45567
43460,20858
1423,25560
1599,34981
43244,52127
1200,21663
6712,53414
6554,45545
496,58549
935,2688
3460,55688
94,33136
1600,23750
1819,17117
42907,49530
4969,54488
1629,20952
6747,35375
1206,12708
4791,40253
3941,17164
4744,26142
398,28310
6910,30324
1034,35111
6928,15166
4520,13036
6712,41654
1054,59218
4255,43915
1274,43397
43282,51194
6701,5442
1995,33025
235,41548
4061,49190
6961,23558
1414,50279
94,6310
1176,52335
1271,35513
43169,14873
4828,23679
1439,25242
6224,55092
1416,21133
6703,5950
822,6663
1005,58221
928,47113
420,11270
718,45701
4968,13167
42865,46768
1192,24053
421,52
112,48644
42872,46071
42873,16762
6709,43464
250,32540
1276,32144
4167,51114
1194,25918
1195,2189
1378,53296
43311,55546
275,43332
1279,13350
25,2255
24,36487
658,53961
4569,54614
601,35404
6837,32952
948,54672
43365,21761
114,7251
1498,27424
43144,50806
3456,11178
43218,9664
6464,16420
69,56719
3496,51717
208,40278
6748,45280
157,5803
1085,5133
43222,28080
1568,48180
42908,16626
1355,42318
171,58582
5969,33609
42933,56769
1454,53842
1360,17905
24,7392
480,17209
4784,11249
832,31679
321,29885
235,58433
6483,38189
1620,46037
1132,52115
4270,15343
6567,5458
1302,2788
235,16044
990,47576
4755,27965
1555,891
9,10644
4881,40835
6435,28033
4318,1462
134,22801
540,9639
773,34056
1361,164
286,5772
539,19988
245,43814
1380,56538
1981,49002
4124,16997
4711,32942
544,56636
1025,22774
380,41798
471,7365
635,32835
4775,42459
606,58333
6487,46057
4706,27088
1039,10639
3513,25185
43168,20091
199,54356
6359,55822
6670,31376
6197,47173
4894,12625
4894,20384
43046,34785
547,5494
6930,34240
977,24474
1477,848
4173,15237
4367,24600
2004,4497
796,36964
4612,3356
1360,52737
1232,20491
885,21950
3494,35914
1033,42021
941,16768
4120,24795
1514,23911
4091,57243
6485,29505
43510,42742
6628,49303
1265,42441
1362,29932
4814,36139
4827,3607
191,43694
43,41094
161,24174
4061,18156
1091,28099
1221,26536
264,47849
2012,21098
444,9736
1979,57693
4255,35245
3513,40338
4102,20135
43460,23870
1447,8437
4556,51175
1321,31947
427,25537
694,17996
1185,279
4901,24709
5908,15838
1987,45019
6131,25829
1192,58512
6695,36941
6055,30237
4761,4460
1292,19082
42891,1966
4815,42774
980,42288
744,56201
2028,33356
824,1527
543,17890
996,22492
42926,210
43006,54390
1325,29690
7,18235
678,35104
1168,58158
238,43004
520,59082
1826,12708
4803,30168
4547,14441
557,34550
1382,7902
1152,58553
971,16359
6946,37788
43279,13138
1618,16963
2059,14590
745,39707
6855,44326
1492,37227
43016,51385
4722,43793
1618,22189
1283,3698
949,48052
3471,8794
3932,2476
1556,43930
738,42752
4047,17965
185,47022
237,55141
842,42985
5954,45654
43141,54237
627,55597
43243,19291
777,23784
3869,31850
4047,43305
1005,51498
798,57157
3515,41053
1455,58475
124,23898
6843,53960
4603,38539
4969,28372
4886,37994
6567,28061
43016,56528
6568,3571
25,18963
451,9650
6693,31338
3873,8156
404,8191
3919,16419
6350,32303
1445,4510
1430,15942
3606,48363
1179,57568
985,6658
3601,29938
4886,18751
369,48820
6109,31625
1429,35268
1065,54828
150,22022
1330,52410
43066,24385
43483,27626
835,29220
1091,58421
1498,40365
48,21045
1143,20763
3932,14929
898,37562
6478,15101
1819,34712
1331,37209
1071,19363
1397,56577
43388,16928
43338,40860
6110,56209
43152,19607
4711,112
1124,8833
2076,9434
6721,18972
1172,15003
504,56950
4849,14668
738,59403
225,39579
43314,46144
4413,35813
920,27163
1026,26512
6737,41072
1488,7207
1247,12079
356,5707
6695,58253
6737,46545
2030,30429
1455,33627
516,8135
869,55025
984,22626
796,7568
4054,21155
114,5885
6284,32646
232,23521
636,12927
3881,3302
1006,8568
1619,31139
1242,50381
501,17308
43237,14863
3525,17777
4204,52346
42932,51014
4708,25687
4218,51718
6235,36264
1028,7799
1073,23281
4846,7494
43338,22982
530,30728
14,27916
546,26379
1441,31514
2055,15349
963,18221
179,34399
865,41036
701,38718
191,58198
4224,1444
1007,15355
344,38390
1095,15474
1621,33494
1062,27691
1429,14143
420,11051
1019,55177
6945,23493
772,48354
2890,6199
984,51377
4935,29177
1235,46846
2033,31918
1585,24253
304,51934
1150,42782
3869,39243
2903,5711
1184,49344
6891,57332
3486,37951
871,29706
4847,331
4835,41855
6747,42945
43023,58910
770,4554
6678,21965
4710,30714
438,12145
6548,13047
907,36929
4263,11362
6652,16031
953,22604
1097,32009
1280,46005
69,28762
2033,48200
1826,52785
4785,31301
570,37298
1029,29539
316,12054
43388,55139
859,20991
6759,1129
6116,17249
866,19222
4135,28407
4803,14403
4545,17384
633,15075
595,43073
33,31667
225,37155
6197,38768
911,22907
6054,50941
457,15292
2059,58879
583,43995
1313,38454
2000,23647
1379,50785
6137,33872
319,31458
6570,50962
466,34224
6651,25609
8,13662
6135,25600
44,59775
1625,59374
43097,48893
822,11288
4382,30512
1041,46922
4973,38608
115,52090
4174,8996
1542,57010
3923,1724
1446,11753
644,5873
14,10421
2051,14877
1352,11302
702,21545
575,15589
1431,22154
1271,38184
55,52742
6839,35027
720,26103
205,1174
1062,24140
1473,31410
4152,10149
359,39907
4761,14779
199,21763
4049,57178
151,56293
195,3588
1247,23659
6708,32572
42916,51612
3482,2950
695,19221
861,7640
691,19724
1105,27496
4512,43556
3485,59705
1336,38178
6855,45133
6891,5253
1577,30889
47,34777
6075,3822
1393,58284
661,55363
590,16849
4285,40491
1607,2267
215,53001
1011,36855
2064,57254
1379,6405
6176,980
288,49125
42889,26517
720,20096
122,49026
43591,5894
4904,46170
1379,29593
43000,1906
4383,20123
479,7190
43525,54618
2900,46100
4663,37683
1593,21828
1164,12659
6264,30634
1118,12084
359,29315
2050,26340
846,30079
247,50664
2,29608
1291,8027
196,53358
1006,51878
2055,43150
489,40358
1249,9334
2,7846
43000,58030
1195,14929
