photo,room_num,area,price,orientation,h_num,s_num
https://img.0756fang.com/Upload/Dictionary/2020-11/sD1FA3355A79D4B968AB029729CBE530F.jpg,1室0厅0卫,45.0㎡,33333元,南,0,2040
https://img.0756fang.com/Upload/Dictionary/2020-11/sA0DDBD7D4DB94A5695324098F3985D6A.jpg,2室0厅0卫,78.0㎡,33333元,东南,1,2040
https://img.0756fang.com/Upload/Dictionary/2020-11/s7C54DA30BAFB4E41A3C7C2822846A882.jpg,1室0厅0卫,40.0㎡,32500元,东,2,2040
https://img.0756fang.com/Upload/Dictionary/2020-11/sA2BA4DAA77304AC898C35B63EDF9A1DA.jpg,1室0厅0卫,41.0㎡,34146元,北,3,2040
https://img.0756fang.com/Upload/Dictionary/2020-12/sA247CB4DEE4E442AAB09F3CE3C09D879.jpg,4室2厅2卫,216.0㎡,40277元,东南,4,2040
https://img.0756fang.com/Upload/Dictionary/2020-12/s027601A992FF41DBB2D0AEBF936938C5.jpg,2室2厅1卫,109.0㎡,38440元,东,5,2040
https://img.0756fang.com/Upload/Dictionary/2020-12/sEAAAC439B2FB4906A9D9D2F71CD12618.jpg,3室2厅2卫,168.0㎡,40773元,东,6,2040
https://img.0756fang.com/Upload/Dictionary/2020-11/s35291AA41B5D4CEA80E76EA266F90D66.jpg,0室0厅0卫,38.0㎡,19736元,北,0,2096
https://img.0756fang.com/Upload/Dictionary/2021-10/202110211034243451.jpg,0室1厅1卫,38.0㎡,18421元,北,1,2096
https://img.0756fang.com/Upload/Dictionary/2021-10/202110230853166575.jpg,0室0厅0卫,152.0㎡,14802元,北,2,2096
https://img.0756fang.com/Upload/Dictionary/2019-07/8cd4e5a2-9ef9-4556-82fb-af0cad73e5a2.jpg,1室0厅0卫,155.0㎡,23225元,西南,0,1276
https://img.0756fang.com/Upload/Dictionary/2019-07/0114c019-fbc5-49f3-9b37-9a1174cce004.jpg,1室2厅1卫,53.0㎡,27735元,西北,1,1276
https://img.0756fang.com/Upload/Dictionary/2020-04/sEEC5F2A140784626A0B3ABB15C2AD444.jpg,4室2厅3卫,309.0㎡,61488元,东南,0,1246
https://img.0756fang.com/Upload/Dictionary/2020-04/s6FDDBF1315EA443DB01AC2CEC8C3D53C.jpg,5室2厅5卫,466.0㎡,64377元,东南,1,1246
https://img.0756fang.com/Upload/Dictionary/2020-04/sDB34B4F509474970B81A7DEDCE20DA48.jpg,4室2厅3卫,304.0㎡,59210元,东南,2,1246
https://img.0756fang.com/Upload/Dictionary/2020-04/sEBE9B73FE7624F04BA0F7ECC02037156.jpg,3室2厅3卫,317.0㎡,58359元,东南,3,1246
https://img.0756fang.com/Upload/Dictionary/2017-09/9a10fd99-8283-4cb6-a715-739ab75d594e.jpg,3室3厅3卫,367.0㎡,38964元,南,0,55
https://img.0756fang.com/Upload/Dictionary/2016-03/c8ac2488-30ff-4e5b-84d6-74076e2be431.jpg,6室3厅5卫,446.0㎡,45964元,南,1,55
https://img.0756fang.com/Upload/Dictionary/2016-03/71664a4e-2e57-4e50-ab29-a50f64fc4a17.jpg,6室4厅7卫,656.0㎡,45731元,南,2,55
https://img.0756fang.com/Upload/Dictionary/2020-06/s0126DD38549E479B831BB5E953C8EF38.jpg,2室2厅1卫,76.0㎡,35526元,东南,0,1474
https://img.0756fang.com/Upload/Dictionary/2020-06/s854667A6C5064167BBC570F31ED78666.jpg,2室2厅1卫,74.5㎡,35570元,北,1,1474
https://img.0756fang.com/Upload/Dictionary/2020-06/s7E556A26282B49D4A21F5CEF315BE8C1.jpg,2室2厅1卫,75.9㎡,36890元,南,2,1474
https://img.0756fang.com/Upload/Dictionary/2020-06/sE4F32B6CDC1C4A1191DCEE3B315FECDC.jpg,3室2厅2卫,107.0㎡,36448元,东,3,1474
https://img.0756fang.com/Upload/Dictionary/2019-07/6567c18f-2a5f-4787-bd7f-926efc88dc42.png,3室2厅2卫,109.0㎡,40366元,南,0,25
https://img.0756fang.com/Upload/Dictionary/2019-07/c0696d2a-d00a-4718-9867-9eab0efcfa4c.png,3室2厅2卫,128.0㎡,42968元,南北通,1,25
https://img.0756fang.com/Upload/Dictionary/2017-11/82f1155f-4e44-4710-b881-c909a3244102.png,3室2厅2卫,128.0㎡,41796元,南,2,25
https://img.0756fang.com/Upload/Dictionary/2017-11/6feabfb2-477b-4e1b-875f-efb8d7b36676.png,4室2厅2卫,138.0㎡,39855元,南北通,3,25
https://img.0756fang.com/Upload/Dictionary/2020-05/s0CA21540A1524F8EA6380B7ADA48DCAE.jpg,3室2厅2卫,115.3㎡,37467元,南,0,1460
https://img.0756fang.com/Upload/Dictionary/2020-05/s7F4161624EA940009491FCE5D78C030B.jpg,3室2厅2卫,97.6㎡,35348元,东北,1,1460
https://img.0756fang.com/Upload/Dictionary/2020-05/sD2FAB374F4FB45E5B5653D8553366249.jpg,3室2厅2卫,118.0㎡,36949元,南,2,1460
https://img.0756fang.com/Upload/Dictionary/2020-05/s853FBB0BD7FC45029391B49A8AACF446.jpg,1室1厅1卫,52.0㎡,28846元,南,3,1460
https://img.0756fang.com/Upload/Dictionary/2020-05/s853FBB0BD7FC45029391B49A8AACF446.jpg,2室1厅1卫,63.0㎡,26984元,北,4,1460
https://img.0756fang.com/Upload/Dictionary/2020-05/s853FBB0BD7FC45029391B49A8AACF446.jpg,1室1厅1卫,49.0㎡,28571元,南,5,1460
https://img.0756fang.com/Upload/Dictionary/2018-04/2a2c5c32-cb98-4c62-9610-637a102f5072.jpg,4室2厅2卫,128.4㎡,35046元,南北通,0,1140
https://img.0756fang.com/Upload/Dictionary/2019-05/6bcddd27-a732-4fef-9a57-9dd7d424ba76.jpg,3室2厅2卫,116.0㎡,37931元,东南,0,1288
https://img.0756fang.com/Upload/Dictionary/2020-04/sD1E79EBA81C448098242179438CDEE45.jpg,4室2厅2卫,155.0㎡,35483元,北,1,1288
https://img.0756fang.com/Upload/Dictionary/2020-06/s28E5D2F458B84E229D8B38C2A1FEE16D.jpeg,5室2厅3卫,325.0㎡,30769元,南北通,2,1288
https://img.0756fang.com/Upload/Dictionary/2020-06/s4E2553ECC4D94955890AB5B99560F4D2.jpeg,5室2厅3卫,296.0㎡,33783元,西南,3,1288
https://img.0756fang.com/Upload/Dictionary/2020-06/s65C72F6ED9A54EAFAD9EA9865F5F9EF2.jpeg,4室2厅3卫,221.0㎡,27149元,南,4,1288
https://img.0756fang.com/Upload/Dictionary/2021-03/s9869CC9C6ED845FA8357267E5242C64F.jpg,4室2厅2卫,172.0㎡,36046元,南北通,5,1288
https://img.0756fang.com/Upload/Dictionary/2021-05/s82090F982F8C43BAADFEE2832B4AA170.jpg,5室2厅5卫,345.0㎡,62028元,南北通,0,2146
https://img.0756fang.com/Upload/Dictionary/2021-05/sD5480D465A984BBBB578A4C9A5501E31.jpg,3室2厅3卫,241.0㎡,60000元,南北通,1,2146
https://img.0756fang.com/Upload/Dictionary/2021-05/s32563967584841B9A986509F7371F121.jpg,4室2厅4卫,302.0㎡,59602元,南北通,2,2146
https://img.0756fang.com/Upload/fyEstate/14020410140553CBBF3B1B7FABDA5782.jpg,5室2厅3卫,218.0㎡,45871元,东南,0,2147
https://img.0756fang.com/Upload/fyEstate/140204101516059EA9CAC49FE2725427.jpg,5室3厅3卫,227.0㎡,51982元,南,1,2147
