id,district,sub_url,photo,house_name,house_status,house_type,address,price,developer,sur_trafic,sur_school,sur_environment,sur_business,sur_entertain,peoperty_fee,property_company
2040,1,/first/2040/,https://img.0756fang.com/Upload/Dictionary/2020-09/sC8B08CB80791465A94AC500B623A0C57.jpg/w600,世茂港珠澳口岸城,在售,商办,香洲区茂盛二路67号,36000,珠海世茂新领域房地产开发有限公司,一，形成1桥2通道3口岸3港口5机场的人流变现环。其中2通道为深中通道与深珠通道，目前深中通道已经建设当中，预计2024年即可通车。深珠通道东起深圳前海，西至珠海淇澳岛，横跨伶仃洋。目前该通道正在规划当中。前海段以西丽站为主要枢纽的规划已在推进当中二，项目内部约1万平方米 7.5 米层高。地上设有公共交通枢纽中心，同步在申请增设湾区 5 大机场候机大厅，项目地下负一层与整个口岸社会车辆停车场相,,从整个岛的控规来看，近 200 万平方米的全岛上，除了三地联检大楼、岛内绿地跟停车区域、公建之外，唯一能够进行开发建设并可对外出售的仅有世茂港珠澳口岸城项目。接驳港珠澳大桥，与世界最大口岸相连接，紧密连接两岸三地,"10 万方商业：为阶梯式 5 层的购物中心，将世茂集团商业战略合作的资源引进到，比如进驻到上海世茂广场的知名商家，同时更以港澳居民日常衣食住行相关的主流品牌定向招商，打造一个犹如置身港澳的 24小时不夜城.五星品牌酒店：项目将引进5家品牌酒店，目前初步确定的为凡象酒店、茂御酒店、茂御居、睿选等,也同步在跟国际奢华酒店接洽当中。  意向引进像洲际同等品牌的全球五星级酒店，以港澳人比较熟知的文华东",世界级滨海公园：项目滨海景观轴为新月形状的映月公园，映月公园作为景观主轴，依次规划有逐浪栈道、海上剧场、极光喷泉、游艇码  头、望海眺台等。,6.0元/㎡,世茂商娱物业
2096,1,/first/2096/,https://img.0756fang.com/Upload/Dictionary/2020-11/sD01FF9DEBDA44FFB975F83F75DEB57A4.jpeg/w600,龙光玖云著,在售,商办,香洲区九洲大道西10,15000,珠海市耀君房地产开发有限公司,1、三横两纵多维路交通网络（三横：梅华路、人??路、九洲大道；两纵：情侣路、迎宾南路），逾20条公交线路，通往珠海各个方向。2、3分钟?程到达拱北口岸，10分钟通关瞬达澳?。3、广珠轻轨一期工程珠海站至横琴口岸现已在运行当中，横琴口岸是唯一24小时通关口岸，未来更是可以40分钟到达珠海金湾机场。4、至珠海站也仅需3分钟?程，经1小时承接广州2小时承接深圳，15分钟直上广澳高速，进而畅达,北岭小学、省一级初中国家级绿色学校拱北中学,5-10分钟步行到达珠海首个开放式商业街区富华里、拱北首个网红主题购物公园玖洲道以及购物中心摩尔广场， 超百余国际品牌入驻，5分钟?程到达华发商都、吉大等商圈，购物、休闲、娱乐、餐饮等业态一应俱全。,1、商业配套：5-10分钟步行到达珠海首个开放式商业街区富华里、拱北首个网红主题购物公园玖洲道以及购物中心摩尔广场， 超百余国际品牌入驻，5分钟?程到达华发商都、吉大等商圈，购物、休闲、娱乐、餐饮等业态一应俱全。,项目北眺板樟山森林公园，绿化森林植被覆盖率高达80%，适合健步、锻炼及观光旅行。距国家4A级景区圆明新园只有一路之隔，是南中国唯一按1:1比例完美复刻的皇家园林。梦幻水城、珠海古玩城、珠海市文化馆等多个4A级旅游景区近在咫尺， 创造旅游机会客群，大大带动片区经济发展，升值潜力巨大。,6.0元/㎡,广东光集团物业管理有限公司（一级资质
1276,1,/first/1276/,https://img.0756fang.com/Upload/Dictionary/2019-04/5219dd49-6ef7-48ce-9d13-50f6533c32a6.jpg/w600,美盈时代公馆,不在售,商办,香洲区朝蓬街38号 ,27000,珠海市美盈投资管理有限公司,项目直达拱北口岸、广珠轻轨前山站、终点站及港珠澳大桥出入口，项目属于轻轨及港珠澳大桥双重价值叠加物业,侨光小学、夏湾小学、十六小、十一中、夏湾中学,前山河边、市政公园，世纪城、红树湾等高端住宅小区,珠澳湾世纪中心，卓凡中心，宝莱康，拱北口岸关口/华润万家/明珠商业广场，天虹商场，富华里/摩尔广场/免税商场/国贸/珠海百货/华发商都,圆明新园，炮台山公园，铂尔曼酒店，来魅力假日酒店，项目自带商业，餐饮，购物，健身房，万枫酒店，比高电影院等,8.0元/㎡,华发物业
1246,1,/first/1246/,https://img.0756fang.com/Upload/Dictionary/2018-12/f150cfc8-0233-4fae-934d-1f472e47961c.jpg/w600,仁恒滨海中心,不在售,住宅,香洲区情侣南路1号 ,67000,仁恒置业,情侣南路  拱北口岸总站2路4 路 9路  99 路 观光线  拱北口岸,夏湾小学、夏湾中学、珠海一中附属实验中学、拱北小学、拱北中学、北岭小学,拱北口岸核心资产，零距离珠澳双城生活圈，周边商圈环伺，交通便利，星级酒店林立，国宾级会客厅、商务会馆、等资源随时共享。,拱北口岸商场，华润万家大型超市，沃尔玛超市，米兰百货,铂金洲仔酒店  来魅力。酒店：益健、新海利、棕泉、来魅力、东方印象、帝澜思、昌安等。,7.0元/㎡,仁恒物业
55,1,/first/55/,https://img.0756fang.com/Upload/Dictionary/2019-03/ab41edbd-ec7d-4bf2-b8d7-cfad22e0a246.jpg/w600,中铁凤凰谷,不在售,住宅,香洲区拱北联安路30,46000,凤凰泰富,"4路, 9路, 13路, 36路 99路公交车在粤海东站",拱北小学、拱北中学,"凤凰谷项目南侧为联安路，东连水湾路及情侣南路，西接迎宾南路。可乘坐4路, 9路, 13路, 36路 99路公交车在粤海东站、日华花园站、银都站、银海新村站下车 。",万佳百货、米兰百货、免税商场、莲花路商业步行街,酒吧街、皇家台球俱乐部、粤海保龄球馆,6.0元/㎡,深圳彩生活
1474,1,/first/1474/,https://img.0756fang.com/Upload/Dictionary/2020-06/s4EC2A53478A942A0BCA39447FEBE78C3.jpg/w600,岭秀城壹号,不在售,住宅,香洲区岭秀巷20号 ,38000,珠海正邦房地产开发有限公司,1、2、10、11、13、21、32、33、35、62路公交车及观光巴士至北岭巴士站下车； 1路、2路、10路、10路、11路、32路、33路、35路、62路,爱儿国际幼儿园，领秀城大地国际幼儿园，北岭小学，拱北中学。,沃尔玛商场，来魅力酒店，汉庭酒店，7天酒店，圆明新园，梦幻水城，拱北口岸，拱北地下商场。,迎宾广场，华润万家，口岸广场，莲花路万景城，MO商场，沃尔玛,星级酒店：银都酒店、粤海酒店、金都酒店、香江酒店，益健美食城,3.0元/㎡,深圳市金阳城物业管理
2095,1,/first/2095/,https://img.0756fang.com/Upload/Dictionary/2020-11/sFB5F94B6601346D5BBEB9BBA23B8CA00.jpeg/w600,富力新天地,不在售,商办,香洲区跃升路68号(,27000,恒信国际光学实业有限公司,兰埔（富华里）公交站：1、14、25、30、60、202、605、609、826-2、826-6、992、B2、B7、B8、K6、K7、K9桂花北路公交站：13、21、30 路,北岭小学、省一级初中国家级绿色学校拱北中学,珠海中海诺富特酒店	白石路汉庭酒店	九洲大道明和商业区广场维也纳三好酒店，工商银行	兰埔白石路 2192-2194 号，农业银行	拱北迎宾南路 2062 号，前山粤海西华润银行	兰埔桂花北路 134 号建设银行	兰埔九州大道西 2108 号 1 栋1-3 号商铺,九洲商贸中心	富华里及兰埔片区，拱北商圈	拱北口岸，吉大商圈	九洲城，银石雅园净菜市场，	九洲大道明和商业区广场，兰埔市场	九洲大道，夏湾市场	夏湾，前山市场	前山明和超市	九洲大道明和商业区广场，得一超市	兰埔/前山，华润万家	前山嘉荣超市	富华里,板樟山森林公园，绿化森林植被覆盖率高达80%，适合健步、锻炼及观光旅行。距国家4A级景区圆明新园只有一路之隔，是南中国唯一按1:1比例完美复刻的皇家园林。梦幻水城、珠海古玩城、珠海市文化馆等多个4A级旅游景区近在咫尺， 创造旅游机会客群，大大带动片区经济发展，升值潜力巨大。,7.0元/㎡,广州天力物业发展有限公司
25,1,/first/25/,https://img.0756fang.com/Upload/Dictionary/2016-04/4ccd9153-cddb-4681-bf48-39369071ac59.jpg/w600,中铁诺德国际,不在售,住宅,香洲区白石路73号 ,37000,珠海中铁诺德投资有限公司,供水总公司站：8路，21路，31路，34路等。银石雅园站：1路，14路，25路，30路等,蓝天奥福幼儿园  、兰埔育美幼儿园 、白石幼儿园、香洲区第十六小 、学香洲区第十一中学、桂花中学 ,市中心黄金地段，配套齐全，交通便利，周边市场，学校，医院，银行等一应俱全,旁边就是24万平方米的城市综合体--富华里！周围超市有：有得一超市，华润万家超市，明和超市。,华富里大型综合体，板障山公园，圆明新园，梦幻水城等,3.2元/㎡,中铁诺德物业管理有限公司
1460,1,/first/1460/,https://img.0756fang.com/Upload/Dictionary/2020-05/sDFC322F941CB4DA898DC8D44B1DB53F4.png/w600,利腾金力湾,不在售,住宅,香洲区拱北丰源街58,33000,珠海利腾投资有限公司,k7 k5 k9 b2 b9 826-2 826-5,拱北中学	北岭小学,中铁诺德国际、玖洲道、国维中央广场、江山赋,富华里、摩尔广场、品汇、中安世纪广场,新海利、昌安假日、来魅力,3.0元/㎡,利腾管理有限公司
1140,1,/first/1140/,https://img.0756fang.com/Upload/Dictionary/2018-04/e7c9cb4a-a082-4d49-a162-160ec94d88e9.jpg/w600,玖洲道,不在售,住宅,珠海市九洲大道西21,32000,珠海市兰埔股份合作公司,小区外面就是九洲大道，是珠海为数不多的主干道之一，多条巴士线路经过。圆明新园：13-1-25-30-40-60-62-69-991-992等。兰埔站：30-60-992-K9等。,"金钟小学、北岭小学、前山小学、前山中学、拱北中学、第十一中学,第十六中。",市中心黄金地段，配套齐全，交通便利，周边市场、学校、医院、银行等一应俱全。,小区自带4.4万平方商业综合体、对面有富华里、诚丰广场（天虹商场）、摩尔广场（沃尔玛）,富华里、圆明新园、板障山、梦幻水城、白莲洞公园等。,3.0元/㎡,仁河酒店管理有限公司
