h_num,s_num,agent_id,photo,room_num,area,price,status,orientation
0,1037,8572,https://img.0756fang.com/Upload/Fang/2021-11/sF00029E2BC524ED4986BF47477C251B0.jpg/240X180,2房2厅1卫,73.23 ㎡,210万,0,南
1,1037,38928,https://img.0756fang.com/Upload/Fang/2023-03/2303271123565C29B74F681A4347B951.jpg/240X180,3房2厅1卫,96.43 ㎡,245万,0,西
2,1037,8810,https://img.0756fang.com/Upload/Fang/2022-02/sE4714D5BF1B142449B0ABDC900D47184.jpeg/240X180,3房2厅2卫,105.07 ㎡,213万,0,南北通
3,1037,33708,https://img.0756fang.com/Upload/Fang/2020-07/s05008555A00645A28282667DD6312B48.jpg/240X180,5房3厅3卫,255.92 ㎡,500万,0,南
4,1037,30774,https://img.0756fang.com/Upload/Fang/2022-09/220915172753361E197CD6D94EFBAF94.jpg/240X180,2房2厅1卫,79.88 ㎡,212万,0,西南
5,1037,34218,https://img.0756fang.com/Upload/Fang/2021-07/2107041804246F46D25C1D2A4BAB8DFC.jpg/240X180,2房2厅2卫,80 ㎡,200万,0,南北通
6,1037,44504,https://img.0756fang.com/Upload/Fang/2022-06/sE06FCDA732964D87AAB06648C17BC82F.jpeg/240X180,2房2厅1卫,80.58 ㎡,200万,0,东北
7,1037,45715,https://img.0756fang.com/Upload/Fang/2023-03/230312173831289BCBC586A4482289D8.jpg/240X180,4房2厅2卫,146.02 ㎡,326万,0,东南
8,1037,55613,https://img.0756fang.com/Upload/Fang/2021-08/s01B7817D45D14566A2D370A758E1CC1F.jpeg/240X180,3房2厅1卫,97 ㎡,215万,0,东
9,1037,27012,https://img.0756fang.com/Upload/Fang/2022-11/sBA5237861A13452F876918A7A98664E9.jpg/240X180,5房2厅3卫,192.44 ㎡,358万,0,北
10,1037,20718,https://img.0756fang.com/Upload/Fang/2023-02/23022111131580B59EF287C44408A8F0.jpg/240X180,3房2厅2卫,108 ㎡,270万,0,南北通
11,1037,22754,https://img.0756fang.com/Upload/Fang/2021-10/s8C1F80DD8D2C48DD990C4F29FA4F4172.jpeg/240X180,2房2厅2卫,63.02 ㎡,173万,0,西
12,1037,8580,https://img.0756fang.com/Upload/Fang/2023-03/23031113581196A5B14A56D345179DEA.jpg/240X180,2房2厅1卫,79.68 ㎡,203万,0,南
13,1037,58379,https://img.0756fang.com/Upload/Fang/2021-10/sBA692B38C42D45F29466259271969EB7.jpeg/240X180,3房2厅2卫,100.95 ㎡,225万,0,东
14,1037,50229,https://img.0756fang.com/Upload/Fang/2022-07/220730174059ADB5283A9CB14248BF03.jpg/240X180,3房2厅1卫,105.97 ㎡,212万,0,东
15,1037,37944,https://img.0756fang.com/Upload/Fang/2023-02/s3DA222ABBEF044A48A2840B81C7D2F54.jpg/240X180,2房2厅1卫,90.09 ㎡,225万,0,东南
16,1037,56943,https://img.0756fang.com/Upload/Fang/2022-07/220703185729B21C87EF55D24883899C.jpg/240X180,1房1厅1卫,38.7 ㎡,92万,0,东北
17,1037,6278,https://img.0756fang.com/Upload/Fang/2022-06/2206141557051E56EB9E36414AE19ADE.jpg/240X180,3房2厅2卫,106 ㎡,230万,0,北
