property_company,developer,property_fee,house_type,surr_envi,surr_school,surr_trafic,surr_business,surr_entertain,id
中山市明和物业管理有限公司,弘明房产有限公司,1.5 元/平米*月,住宅,银石雅园坐落于珠海最美丽的东西主干道，银石雅园东通吉大九洲港海滨西过立交桥可直接广州或珠海机场，南连拱北繁华闹市，被对圆明新圆旅游娱乐区。,十六小，十一中学,银石雅园巴士站，银石雅园南巴士站,富华里商业街，玖洲道公园购物街,圆明新园，梦幻水城，汉庭酒店，银石酒店，维也纳酒店,1037
深圳市金阳城物业管理,珠海正邦房地产开发有限公司,1.7 元/平米*月,住宅,口岸广场附近，沃尔玛商场,北岭小学，拱北小学，拱北口岸,1、2、10、11、13、21、32、33、35、62路公交车及观光巴士至北岭巴士站下车； 1路、2路、10路、10路、11路、32路、33路、35路、62路,迎宾广场，华润万家，口岸广场，莲花路万景城，MO商场，沃尔玛,星级酒店：银都酒店、粤海酒店、金都酒店、香江酒店，益健美食城,1361
华策物业,朝粤房地产有限公,2.2 元/平米*月,住宅,KFC、麦当劳、拱北市场、文华书店、,夏湾小学/夏湾中学,35路、62路，到华骏大酒店站,"华润万家百货,夏湾批发市场",侨光按摩中心,324
锦豪物业,鸣志地产,2.0 元/平米*月,住宅,圆明新园，梦幻水城，板樟山公园,十六中学和金钟小学,62.69.13.991到圆明山庄下车即可,兰埔市场，得一超市，华润万家便利店,圆明新园，梦幻水城，板樟山公园等自然景区，八分田咖啡，以及兰埔美食街。,319
格力物业,格力地产,2.6 元/平米*月,住宅,圆明新园，梦幻水城，板樟山公园,金钟小学和拱北中学,33.609.14.12.11.22.10.10a.32.35，K6和K9到隧道南下车即可,得一超市，小区物业楼下的超市，兰埔市场等,海祥园蓝球场,1339
兰埔物业,兰埔股份合作有限公司,0.6 元/平米*月,住宅,圆明新园，梦幻水城，板樟山森林公园,金钟小学和拱北中学,1.25.30.40.60.14.202.206.605.609.K7.k6.k9等到兰埔巴士站下车,得一超市，华润万家，兰埔市场,圆明新园，梦幻水城，板樟山森林公园，兰埔一条美食街,251
通美物业,晟通集团,1.5 元/平米*月,住宅,近圆明新园，近梦幻水城，近板樟山公园，有前山人民医院,"金钟小学和拱北中学,第十六中",69.13.62路到兰埔东巴士站下车即可,得一超市，华润万佳超市，兰埔市场，八分田咖啡，兰埔美食街。,圆明新园，梦幻水城，板樟山公园,242
家城物业,家城物业,1.2 元/平米*月,住宅,农业银行、建设银行、邮政储蓄、中国银行 第二人民医院,拱北小学、拱北中学,8路、13路、31路、30路、34路、207路，到凉粉桥站,万家百货、迎宾广场、屈臣氏，米兰百货,板障山森林公园  文华书店、拱北市场,230
,,3.0 元/平米*月,住宅,,,14、605、201等,,,1355
中铁诺德物业管理有限公司,珠海中铁诺德投资有限公司,3.2 元/平米*月,住宅,市中心黄金地段，配套齐全，交通便利，周边市场，学校，医院，银行等一应俱全,蓝天奥福幼儿园  、兰埔育美幼儿园 、白石幼儿园、香洲区第十六小 、学香洲区第十一中学、桂花中学 ,供水总公司站：8路，21路，31路，34路等。银石雅园站：1路，14路，25路，30路等,旁边就是24万平方米的城市综合体--富华里！周围超市有：有得一超市，华润万家超市，明和超市。,华富里大型综合体，板障山公园，圆明新园，梦幻水城等,1535
