id,district,sub_url,photo,build_year,house_name,address,price,property_company,developer,property_fee,house_type,surr_envi,surr_school,surr_trafic,surr_business,surr_entertain
1037,1,/loupan/1037.html,https://img.0756fang.com/Upload/Dictionary/2018-08/18083115512273F5B62D413C4DE694F0.jpg/260X170,2003,银石雅园,香洲区珠海九州大道西,26658,中山市明和物业管理有限公司,弘明房产有限公司,1.5 元/平米*月,住宅,银石雅园坐落于珠海最美丽的东西主干道，银石雅园东通吉大九洲港海滨西过立交桥可直接广州或珠海机场，南连拱北繁华闹市，被对圆明新圆旅游娱乐区。,十六小，十一中学,银石雅园巴士站，银石雅园南巴士站,富华里商业街，玖洲道公园购物街,圆明新园，梦幻水城，汉庭酒店，银石酒店，维也纳酒店
1361,1,/loupan/1361.html,https://img.0756fang.com/Upload/Dictionary/2020-11/s1C457EDD6AF94A2B99457BB8E689CE47.jpg/260X170,2009,岭秀城,香洲区岭南路8号、公,25440,深圳市金阳城物业管理,珠海正邦房地产开发有限公司,1.7 元/平米*月,住宅,口岸广场附近，沃尔玛商场,北岭小学，拱北小学，拱北口岸,1、2、10、11、13、21、32、33、35、62路公交车及观光巴士至北岭巴士站下车； 1路、2路、10路、10路、11路、32路、33路、35路、62路,迎宾广场，华润万家，口岸广场，莲花路万景城，MO商场，沃尔玛,星级酒店：银都酒店、粤海酒店、金都酒店、香江酒店，益健美食城
324,1,/loupan/324.html,https://img.0756fang.com/Upload/Dictionary/2018-09/e48078e9-9852-4291-8de0-e76d5cba8228.jpg/260X170,2002,粤海国际花园, 香洲区拱北国防路1,29024,华策物业,朝粤房地产有限公,2.2 元/平米*月,住宅,KFC、麦当劳、拱北市场、文华书店、,夏湾小学/夏湾中学,35路、62路，到华骏大酒店站,"华润万家百货,夏湾批发市场",侨光按摩中心
319,1,/loupan/319.html,https://img.0756fang.com/Upload/Dictionary/2022-11/s7FABB5EE99FB47268902131CCBB2AA13.jpeg/260X170,2006,钰海山庄,香洲区前山兰埔路15,29924,锦豪物业,鸣志地产,2.0 元/平米*月,住宅,圆明新园，梦幻水城，板樟山公园,十六中学和金钟小学,62.69.13.991到圆明山庄下车即可,兰埔市场，得一超市，华润万家便利店,圆明新园，梦幻水城，板樟山公园等自然景区，八分田咖啡，以及兰埔美食街。
1339,1,/loupan/1339.html,https://img.0756fang.com/Upload/fyEstate/1405141753391B343ACBFD589A17BBD7.jpg/260X170,2010,格力香樟,香洲区九洲大道西16,35414,格力物业,格力地产,2.6 元/平米*月,住宅,圆明新园，梦幻水城，板樟山公园,金钟小学和拱北中学,33.609.14.12.11.22.10.10a.32.35，K6和K9到隧道南下车即可,得一超市，小区物业楼下的超市，兰埔市场等,海祥园蓝球场
251,1,/loupan/251.html,https://img.0756fang.com/Upload/Dictionary/2020-07/s9A8B7647110040A594FEE3035F5858AD.jpg/260X170,2004,兰埔花园,九洲大道西2108号,21742,兰埔物业,兰埔股份合作有限公司,0.6 元/平米*月,住宅,圆明新园，梦幻水城，板樟山森林公园,金钟小学和拱北中学,1.25.30.40.60.14.202.206.605.609.K7.k6.k9等到兰埔巴士站下车,得一超市，华润万家，兰埔市场,圆明新园，梦幻水城，板樟山森林公园，兰埔一条美食街
242,1,/loupan/242.html,https://img.0756fang.com/Upload/fyEstate/08072415465971043AF86AC4CCDF6E80.jpg/260X170,2006,金域廊院,前山兰埔路156号 ,28603,通美物业,晟通集团,1.5 元/平米*月,住宅,近圆明新园，近梦幻水城，近板樟山公园，有前山人民医院,"金钟小学和拱北中学,第十六中",69.13.62路到兰埔东巴士站下车即可,得一超市，华润万佳超市，兰埔市场，八分田咖啡，兰埔美食街。,圆明新园，梦幻水城，板樟山公园
230,1,/loupan/230.html,https://img.0756fang.com/Upload/Dictionary/2019-06/e589da59-b329-42b5-a520-2b22bed35ad3.jpg/260X170,2005,和华国际公寓,拱北粤海西路1018,24998,家城物业,家城物业,1.2 元/平米*月,住宅,农业银行、建设银行、邮政储蓄、中国银行 第二人民医院,拱北小学、拱北中学,8路、13路、31路、30路、34路、207路，到凉粉桥站,万家百货、迎宾广场、屈臣氏，米兰百货,板障山森林公园  文华书店、拱北市场
1355,1,/loupan/1355.html,https://img.0756fang.com/Upload/Dictionary/2018-05/74d46244-ad3f-4c7b-bfc4-668865a32273.jpg/260X170,2013,中海富华里,香洲区九洲大道西20,36667,,,3.0 元/平米*月,住宅,,,14、605、201等,,
1535,1,/loupan/1535.html,https://img.0756fang.com/Upload/Dictionary/2018-04/0618441e-ff26-4ef1-a28e-eb42cb07a857.jpg/260X170,2018,中铁诺德国际,香洲区白石路73号 ,42689,中铁诺德物业管理有限公司,珠海中铁诺德投资有限公司,3.2 元/平米*月,住宅,市中心黄金地段，配套齐全，交通便利，周边市场，学校，医院，银行等一应俱全,蓝天奥福幼儿园  、兰埔育美幼儿园 、白石幼儿园、香洲区第十六小 、学香洲区第十一中学、桂花中学 ,供水总公司站：8路，21路，31路，34路等。银石雅园站：1路，14路，25路，30路等,旁边就是24万平方米的城市综合体--富华里！周围超市有：有得一超市，华润万家超市，明和超市。,华富里大型综合体，板障山公园，圆明新园，梦幻水城等
